"E01000418",1937,931
"E01000419",1461,993
"E01000420",1551,1040
"E01000421",1482,1048
"E01000422",1729,671
"E01000423",1638,1136
"E01000424",1693,1142
"E01000425",1752,1260
"E01000426",1675,1122
"E01000427",1932,1375
"E01000428",1752,1049
"E01000429",1639,896
"E01000430",1782,975
"E01000431",1672,963
"E01000432",1673,1017
"E01000433",1810,1124
"E01000434",1584,1095
"E01000435",1406,935
"E01000436",1685,1216
"E01000437",1322,937
"E01000438",1599,1081
"E01000439",1368,913
"E01000440",1413,965
"E01000441",1598,1116
"E01000442",1613,1154
"E01000443",1276,905
"E01000444",1637,1060
"E01000445",1641,1165
"E01000446",1572,1125
"E01000447",1535,994
"E01000448",1335,918
"E01000449",1495,991
"E01000450",1832,1234
"E01000451",1699,1175
"E01000452",1428,914
"E01000453",1472,1019
"E01000454",1572,1054
"E01000455",1705,1102
"E01000456",1427,978
"E01000457",1783,1125
"E01000458",1462,960
"E01000459",1687,1082
"E01000460",1353,941
"E01000461",1662,1124
"E01000462",1643,1068
"E01000463",1254,854
"E01000464",1443,557
"E01000465",1542,717
"E01000466",1655,652
"E01000467",1634,646
"E01000468",2723,861
"E01000469",1654,597
"E01000470",1443,597
"E01000471",1638,222
"E01000472",1346,181
"E01000473",1883,210
"E01000474",1999,298
"E01000475",1976,250
"E01000476",1618,204
"E01000477",1916,257
"E01000478",1641,199
"E01000479",1659,293
"E01000480",1749,311
"E01000481",1538,298
"E01000482",2886,534
"E01000483",1745,305
"E01000484",1228,303
"E01000485",1375,301
"E01000486",1702,299
"E01000487",1890,334
"E01000488",1576,320
"E01000489",1581,426
"E01000490",1606,462
"E01000491",1996,580
"E01000492",1315,333
"E01000493",1637,486
"E01000494",1738,463
"E01000495",1574,436
"E01000497",1756,327
"E01000498",1680,288
"E01000499",1732,315
"E01000501",1874,438
"E01000502",1393,262
"E01000503",1968,500
"E01000504",1676,435
"E01000505",1660,378
"E01000506",1671,259
"E01000507",1634,320
"E01000508",1961,435
"E01000509",1453,175
"E01000510",1673,276
"E01000511",1629,327
"E01000512",1702,388
"E01000513",1693,300
"E01000514",1512,257
"E01000515",1702,361
"E01000516",1707,298
"E01000517",1609,244
"E01000518",1662,387
"E01000519",1923,356
"E01000520",1637,367
"E01000521",2179,398
"E01000522",1923,488
"E01000523",2610,513
"E01000524",2514,488
"E01000525",1986,394
"E01000526",2279,515
"E01000527",2178,412
"E01000528",1493,305
"E01000530",1824,462
"E01000531",2077,516
"E01000532",1630,513
"E01000533",2259,479
"E01000534",1775,493
"E01000535",2170,561
"E01000536",1573,315
"E01000538",1582,308
"E01000539",1541,353
"E01000540",1496,335
"E01000541",1406,252
"E01000543",1596,269
"E01000544",1777,374
"E01000545",1809,476
"E01000546",1645,473
"E01000547",1780,492
"E01000548",2044,487
"E01000549",1936,583
"E01000550",1966,498
"E01000551",2215,512
"E01000552",1817,344
"E01000553",2100,363
"E01000554",1857,422
"E01000555",1497,420
"E01000556",1869,308
"E01000557",1861,385
"E01000558",1508,416
"E01000559",1415,378
"E01000560",1617,516
"E01000561",1805,450
"E01000562",1548,313
"E01000563",1480,284
"E01000564",1570,243
"E01000565",1473,296
"E01000566",1535,293
"E01000567",1380,292
"E01000568",2260,529
"E01000569",1565,366
"E01000570",1579,275
"E01000571",1707,258
"E01000572",1481,276
"E01000573",1596,251
"E01000574",1355,256
"E01000575",1855,281
"E01000576",1660,270
"E01000577",2420,398
"E01000578",1821,406
"E01000579",1665,532
"E01000580",1980,658
"E01000581",1550,509
"E01000582",1847,632
"E01000583",2273,658
"E01000584",1695,439
"E01000585",1814,467
